date_id,date,year,quarter,month,day,iso_week,iso_dow,is_weekend,is_month_start,is_month_end
20200101,2020-01-01,2020,1,1,1,1,3,False,True,False
20200102,2020-01-02,2020,1,1,2,1,4,False,False,False
20200103,2020-01-03,2020,1,1,3,1,5,False,False,False
20200104,2020-01-04,2020,1,1,4,1,6,True,False,False
20200105,2020-01-05,2020,1,1,5,1,7,True,False,False
20200106,2020-01-06,2020,1,1,6,2,1,False,False,False
20200107,2020-01-07,2020,1,1,7,2,2,False,False,False
20200108,2020-01-08,2020,1,1,8,2,3,False,False,False
20200109,2020-01-09,2020,1,1,9,2,4,False,False,False
20200110,2020-01-10,2020,1,1,10,2,5,False,False,False
20200111,2020-01-11,2020,1,1,11,2,6,True,False,False
20200112,2020-01-12,2020,1,1,12,2,7,True,False,False
20200113,2020-01-13,2020,1,1,13,3,1,False,False,False
20200114,2020-01-14,2020,1,1,14,3,2,False,False,False
20200115,2020-01-15,2020,1,1,15,3,3,False,False,False
20200116,2020-01-16,2020,1,1,16,3,4,False,False,False
20200117,2020-01-17,2020,1,1,17,3,5,False,False,False
20200118,2020-01-18,2020,1,1,18,3,6,True,False,False
20200119,2020-01-19,2020,1,1,19,3,7,True,False,False
20200120,2020-01-20,2020,1,1,20,4,1,False,False,False
20200121,2020-01-21,2020,1,1,21,4,2,False,False,False
20200122,2020-01-22,2020,1,1,22,4,3,False,False,False
20200123,2020-01-23,2020,1,1,23,4,4,False,False,False
20200124,2020-01-24,2020,1,1,24,4,5,False,False,False
20200125,2020-01-25,2020,1,1,25,4,6,True,False,False
20200126,2020-01-26,2020,1,1,26,4,7,True,False,False
20200127,2020-01-27,2020,1,1,27,5,1,False,False,False
20200128,2020-01-28,2020,1,1,28,5,2,False,False,False
20200129,2020-01-29,2020,1,1,29,5,3,False,False,False
20200130,2020-01-30,2020,1,1,30,5,4,False,False,False
20200131,2020-01-31,2020,1,1,31,5,5,False,False,True
20200201,2020-02-01,2020,1,2,1,5,6,True,True,False
20200202,2020-02-02,2020,1,2,2,5,7,True,False,False
20200203,2020-02-03,2020,1,2,3,6,1,False,False,False
20200204,2020-02-04,2020,1,2,4,6,2,False,False,False
20200205,2020-02-05,2020,1,2,5,6,3,False,False,False
20200206,2020-02-06,2020,1,2,6,6,4,False,False,False
20200207,2020-02-07,2020,1,2,7,6,5,False,False,False
20200208,2020-02-08,2020,1,2,8,6,6,True,False,False
20200209,2020-02-09,2020,1,2,9,6,7,True,False,False
20200210,2020-02-10,2020,1,2,10,7,1,False,False,False
20200211,2020-02-11,2020,1,2,11,7,2,False,False,False
20200212,2020-02-12,2020,1,2,12,7,3,False,False,False
20200213,2020-02-13,2020,1,2,13,7,4,False,False,False
20200214,2020-02-14,2020,1,2,14,7,5,False,False,False
20200215,2020-02-15,2020,1,2,15,7,6,True,False,False
20200216,2020-02-16,2020,1,2,16,7,7,True,False,False
20200217,2020-02-17,2020,1,2,17,8,1,False,False,False
20200218,2020-02-18,2020,1,2,18,8,2,False,False,False
20200219,2020-02-19,2020,1,2,19,8,3,False,False,False
20200220,2020-02-20,2020,1,2,20,8,4,False,False,False
20200221,2020-02-21,2020,1,2,21,8,5,False,False,False
20200222,2020-02-22,2020,1,2,22,8,6,True,False,False
20200223,2020-02-23,2020,1,2,23,8,7,True,False,False
