"experiment_id","run_id","mode","step","year","month","rows_in","rows_out","bytes_in_mb","bytes_out_mb","wall_sec","shuffle_read_mb","shuffle_write_mb","spark_conf","partitions_in","partitions_out_planned","files_out","files_in","write_sec","merge_sec","tasks_total","stages","disk_spill_mb","memory_spill_mb","gc_time_ms","executor_run_time_ms","skew_factor","wal_bytes_mb","table_bytes_mb","index_bytes_mb","copy_sec_sum","copy_sec_max","analyze_sec","copy_throughput_mib_s","copy_throughput_rows_s","details","created_at"
E2_broadcast_off__2021_01_t1,manual__2025-11-03T09:15:05+01:00,optimized,bronze,2021,1,1369749,1369749,175.693,25.277,26.431887277999977,0.0,0.0,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",8,1,1,,,,11,4,0.0,0.0,876,27058,6.69643,,,,,,,,,"{""app_id"": ""local-1762157741882"", ""dataset"": ""m6nq-qud6"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 08:16:15.918
E2_broadcast_off__2021_01_t1,manual__2025-11-03T09:15:05+01:00,optimized,silver_prep,2021,1,1369749,1369749,25.277,115.265,64.64572501182556,0.001,0.001,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",7,1,1,,,,32,8,0.0,0.0,2102,60343,13.410271,,,,,,,,,"{""app_id"": ""local-1762157783212"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 08:17:32.435
E2_broadcast_off__2021_01_t1,manual__2025-11-03T09:15:05+01:00,optimized,silver_join,2021,1,1369749,1369749,115.285,119.244,70.77677631378174,1354.418,1354.39,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""disable_auto_broadcast"": true}",,,,,,,89,26,716.385,2448.731,12555,266200,5.452671,,,,,,,,,"{""app_id"": ""local-1762157891236"", ""out_dir"": ""/opt/etl/data/silver_wide/s3/exp=E2_broadcast_off__2021_01_t1/trial=1/year=2021/month=1"", ""facts_dir"": ""/opt/etl/data/silver/s3/exp=E2_broadcast_off__2021_01_t1/trial=1/year=2021/month=1"", ""zones_path"": ""/opt/etl/data/ref/zones/zones.parquet"", ""dimdate_path"": ""/opt/etl/data/ref/dim_date/dim_date.parquet"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog"", ""vendors_path"": ""/opt/etl/data/ref/vendor/vendor.parquet"", ""payments_path"": ""/opt/etl/data/ref/payment_type/payment_type.parquet"", ""ratecodes_path"": ""/opt/etl/data/ref/ratecode/ratecode.parquet"", ""storeflag_path"": ""/opt/etl/data/ref/store_flag/store_flag.parquet""}",2025-11-03 08:19:25.731
E2_broadcast_off__2021_01_t1,manual__2025-11-03T09:15:05+01:00,optimized,export,2021,1,1369749,1369749,115.265,292.307,39.44988250732422,0.0,0.0,"{""writer"": ""single_csv"", ""measure_rows"": true, ""target_files_per_month"": 1}",8,1,1,,26.78279948234558,4.365886926651001,11,4,0.0,0.0,604,28335,10.009282,,,,,,,,,"",2025-11-03 08:20:47.381
E2_broadcast_off__2021_01_t1,manual__2025-11-03T09:15:05+01:00,optimized,dwh_single,2021,1,1369749,1369749,292.307,,120.103,,,"{""loader"": ""single_copy""}",,,,,,,,,,,,,,911.223,382.312,97.695,,,,2.433807,11404.805845,"",2025-11-03 08:22:59.592
E2_broadcast_on__2021_01_t1,manual__2025-11-03T09:23:21+01:00,optimized,bronze,2021,1,1369749,1369749,175.693,25.277,28.335369933000038,0.0,0.0,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",8,1,1,,,,11,4,0.0,0.0,788,29608,6.456667,,,,,,,,,"{""app_id"": ""local-1762158223211"", ""dataset"": ""m6nq-qud6"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 08:24:16.441
E2_broadcast_on__2021_01_t1,manual__2025-11-03T09:23:21+01:00,optimized,silver_prep,2021,1,1369749,1369749,25.277,115.265,61.433695554733276,0.001,0.001,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",7,1,1,,,,32,8,0.0,0.0,1911,57677,12.4589,,,,,,,,,"{""app_id"": ""local-1762158267642"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 08:25:33.488
E2_broadcast_on__2021_01_t1,manual__2025-11-03T09:23:21+01:00,optimized,silver_join,2021,1,1369749,1369749,115.285,119.947,36.93811345100403,0.046,0.031,"{""aqe"": true, ""parquet_codec"": ""snappy"", ""broadcast_small"": true, ""shuffle_partitions"": 64, ""max_partition_bytes"": 134217728, ""disable_auto_broadcast"": false}",,,,,,,46,25,0.0,0.0,1775,38003,27.896798,,,,,,,,,"{""app_id"": ""local-1762158373353"", ""out_dir"": ""/opt/etl/data/silver_wide/s3/exp=E2_broadcast_on__2021_01_t1/trial=1/year=2021/month=1"", ""facts_dir"": ""/opt/etl/data/silver/s3/exp=E2_broadcast_on__2021_01_t1/trial=1/year=2021/month=1"", ""zones_path"": ""/opt/etl/data/ref/zones/zones.parquet"", ""dimdate_path"": ""/opt/etl/data/ref/dim_date/dim_date.parquet"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog"", ""vendors_path"": ""/opt/etl/data/ref/vendor/vendor.parquet"", ""payments_path"": ""/opt/etl/data/ref/payment_type/payment_type.parquet"", ""ratecodes_path"": ""/opt/etl/data/ref/ratecode/ratecode.parquet"", ""storeflag_path"": ""/opt/etl/data/ref/store_flag/store_flag.parquet""}",2025-11-03 08:26:54.460
E2_broadcast_on__2021_01_t1,manual__2025-11-03T09:23:21+01:00,optimized,export,2021,1,1369749,1369749,115.265,291.0,36.29218673706055,0.0,0.0,"{""writer"": ""single_csv"", ""measure_rows"": true, ""target_files_per_month"": 1}",8,1,1,,23.27108669281006,4.506732940673828,11,4,0.0,0.0,593,25778,9.517573,,,,,,,,,"",2025-11-03 08:28:04.627
E2_broadcast_on__2021_01_t1,manual__2025-11-03T09:23:21+01:00,optimized,dwh_single,2021,1,1369749,1369749,291.0,,112.337,,,"{""loader"": ""single_copy""}",,,,,,,,,,,,,,911.188,382.312,97.695,,,,2.590429,12193.255782,"",2025-11-03 08:30:10.880
