"experiment_id","run_id","mode","step","year","month","rows_in","rows_out","bytes_in_mb","bytes_out_mb","wall_sec","shuffle_read_mb","shuffle_write_mb","spark_conf","partitions_in","partitions_out_planned","files_out","files_in","write_sec","merge_sec","tasks_total","stages","disk_spill_mb","memory_spill_mb","gc_time_ms","executor_run_time_ms","skew_factor","wal_bytes_mb","table_bytes_mb","index_bytes_mb","copy_sec_sum","copy_sec_max","analyze_sec","copy_throughput_mib_s","copy_throughput_rows_s","details","created_at"
preset_baseline_soft_y2021_m01,manual__2025-11-03T14:49:47+01:00,baseline,silver_prep,2021,1,1369749,1369749,25.277,115.265,44.353880882263184,0.001,0.001,"{""aqe"": false, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 32, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",7,1,1,,,,18,6,0.0,0.0,1489,41250,7.718836,,,,,,,,,"{""app_id"": ""local-1762177847961"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 13:51:37.628
preset_baseline_soft_y2021_m01,manual__2025-11-03T14:49:47+01:00,baseline,silver_join,2021,1,1369749,1369749,115.285,118.675,63.32361316680908,1348.19,1348.167,"{""aqe"": false, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 32, ""max_partition_bytes"": 134217728, ""disable_auto_broadcast"": true}",,,,,,,295,26,470.024,1648.175,11530,192489,11.687265,,,,,,,,,"{""app_id"": ""local-1762177928480"", ""out_dir"": ""/opt/etl/data/silver_wide/s3/exp=preset_baseline_soft_y2021_m01/trial=1/year=2021/month=1"", ""facts_dir"": ""/opt/etl/data/silver/s3/exp=preset_baseline_soft_y2021_m01/trial=1/year=2021/month=1"", ""zones_path"": ""/opt/etl/data/ref/zones/zones.parquet"", ""dimdate_path"": ""/opt/etl/data/ref/dim_date/dim_date.parquet"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog"", ""vendors_path"": ""/opt/etl/data/ref/vendor/vendor.parquet"", ""payments_path"": ""/opt/etl/data/ref/payment_type/payment_type.parquet"", ""ratecodes_path"": ""/opt/etl/data/ref/ratecode/ratecode.parquet"", ""storeflag_path"": ""/opt/etl/data/ref/store_flag/store_flag.parquet""}",2025-11-03 13:53:15.444
preset_baseline_soft_y2021_m01,manual__2025-11-03T14:49:47+01:00,baseline,bronze,2021,1,1369749,1369749,175.693,25.277,18.10775100200044,0.0,0.0,"{""aqe"": false, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 32, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",8,1,1,,,,11,4,0.0,0.0,698,18630,6.819646,,,,,,,,,"{""app_id"": ""local-1762177817710"", ""dataset"": ""m6nq-qud6"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 13:50:41.580
preset_baseline_soft_y2021_m01,manual__2025-11-03T14:49:47+01:00,baseline,export,2021,1,1369749,1369749,115.265,294.919,23.770671606063843,0.0,0.0,"{""writer"": ""single_csv"", ""measure_rows"": true, ""target_files_per_month"": 1}",8,1,1,,14.986806154251099,2.5795211791992188,11,4,0.0,0.0,278,16235,9.679458,,,,,,,,,"",2025-11-03 13:54:06.691
preset_baseline_soft_y2021_m01,manual__2025-11-03T14:49:47+01:00,baseline,dwh_single,2021,1,1369749,1369749,294.919,,90.885,,,"{""loader"": ""single_copy""}",,,,,,,,,,,,,,913.833,382.312,97.695,,,,3.24496,15071.193421,"",2025-11-03 13:55:50.650
preset_baseline_soft_y2021_m02,manual__2025-11-03T14:56:25+01:00,baseline,bronze,2021,2,1371688,1371688,176.012,25.252,17.975657544997375,0.0,0.0,"{""aqe"": false, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 32, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",8,1,1,,,,11,4,0.0,0.0,506,17758,7.157619,,,,,,,,,"{""app_id"": ""local-1762178212821"", ""dataset"": ""m6nq-qud6"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 13:57:16.450
preset_baseline_soft_y2021_m02,manual__2025-11-03T14:56:25+01:00,baseline,silver_prep,2021,2,1371688,1371688,25.252,115.111,43.261032819747925,0.001,0.001,"{""aqe"": false, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 32, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",7,1,1,,,,18,6,0.0,0.0,1391,40511,7.809434,,,,,,,,,"{""app_id"": ""local-1762178241505"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 13:58:08.045
preset_baseline_soft_y2021_m02,manual__2025-11-03T14:56:25+01:00,baseline,silver_join,2021,2,1371688,1371688,115.13,119.366,56.53613352775574,1349.585,1349.562,"{""aqe"": false, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 32, ""max_partition_bytes"": 134217728, ""disable_auto_broadcast"": true}",,,,,,,295,26,543.261,1932.11,14915,182852,14.721605,,,,,,,,,"{""app_id"": ""local-1762178313298"", ""out_dir"": ""/opt/etl/data/silver_wide/s3/exp=preset_baseline_soft_y2021_m02/trial=1/year=2021/month=2"", ""facts_dir"": ""/opt/etl/data/silver/s3/exp=preset_baseline_soft_y2021_m02/trial=1/year=2021/month=2"", ""zones_path"": ""/opt/etl/data/ref/zones/zones.parquet"", ""dimdate_path"": ""/opt/etl/data/ref/dim_date/dim_date.parquet"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog"", ""vendors_path"": ""/opt/etl/data/ref/vendor/vendor.parquet"", ""payments_path"": ""/opt/etl/data/ref/payment_type/payment_type.parquet"", ""ratecodes_path"": ""/opt/etl/data/ref/ratecode/ratecode.parquet"", ""storeflag_path"": ""/opt/etl/data/ref/store_flag/store_flag.parquet""}",2025-11-03 13:59:35.185
preset_baseline_soft_y2021_m02,manual__2025-11-03T14:56:25+01:00,baseline,export,2021,2,1371688,1371688,115.111,295.363,24.001213788986206,0.0,0.0,"{""writer"": ""single_csv"", ""measure_rows"": true, ""target_files_per_month"": 1}",8,1,1,,15.558506488800049,2.3080663681030273,11,4,0.0,0.0,299,17126,9.548406,,,,,,,,,"",2025-11-03 14:00:25.076
preset_baseline_soft_y2021_m02,manual__2025-11-03T14:56:25+01:00,baseline,dwh_single,2021,2,1371688,1371688,295.363,,92.177,,,"{""loader"": ""single_copy""}",,,,,,,,,,,,,,914.91,383.312,96.328,,,,3.204316,14881.086652,"",2025-11-03 14:02:07.155
preset_baseline_soft_y2021_m03,manual__2025-11-03T15:02:26+01:00,baseline,bronze,2021,3,1925130,1925130,247.347,35.004,22.174077132000093,0.0,0.0,"{""aqe"": false, ""parquet_codec"": ""snappy"", ""broadcast_small"": false, ""shuffle_partitions"": 32, ""max_partition_bytes"": 134217728, ""target_files_per_month"": 1}",8,1,1,,,,11,4,0.0,0.0,593,24655,6.890894,,,,,,,,,"{""app_id"": ""local-1762178572799"", ""dataset"": ""m6nq-qud6"", ""eventlog_dir"": ""/opt/etl/data/_spark_eventlog""}",2025-11-03 14:03:18.287
